"","Year","Site_ID","Plant_gen_sp","plant_id","Fruit_Yes","Fruit_No","Fruit_preyed","Fruit_dispersed","fruit_formado","fruit_total","fruit_proportion","Seeds","Seed_weight","richness","Flower_abundance","Frequency","freq_minute","visitatio_rate","visitation_rate_minute"
"137",2015,"Convento_de_la_luz","Lavandula stoechas","A",313,97,6,0,319,416,0.766826923076923,2.44444444444444,0.000498888888888889,NA,69,NA,NA,NA,NA
"138",2015,"Convento_de_la_luz","Salvia rosmarinus","A",38,10,0,36,74,84,0.880952380952381,1.5,0.00089,NA,230,NA,NA,NA,NA
"139",2015,"Convento_de_la_luz","Salvia rosmarinus","B",83,13,0,72,155,168,0.922619047619048,2,0.000575,1,70,36,7.2,0.514285714285714,0.102857142857143
"140",2015,"Convento_de_la_luz","Teucrium fruticans","B",88,6,0,86,174,180,0.966666666666667,2.33333333333333,0.00325333333333333,4,30.8,4,0.8,0.12987012987013,0.025974025974026
"141",2017,"Convento_de_la_luz","Teucrium fruticans","B",5,0,5,0,10,10,1,1.66666666666667,0.00351,4,62.5,9,3,0.144,0.048
"142",2018,"El_pozo","Cistus crispus","A",8,2,0,0,8,10,0.8,18.6666666666667,0.01021,4,20,14,4.66666666666667,0.7,0.233333333333333
"143",2018,"El_pozo","Cistus crispus","B",5,2,0,0,5,7,0.714285714285714,27.6666666666667,0.0153466666666667,4,34.25,16,5.33333333333333,0.467153284671533,0.155717761557178
"144",2018,"El_pozo","Cistus crispus","C",5,0,0,0,5,5,1,31.3333333333333,0.01452,3,48,3,1,0.0625,0.0208333333333333
"145",2019,"El_pozo","Cistus crispus","A",1,2,3,0,4,6,0.666666666666667,26,0.01241,1,23.5,8,2.66666666666667,0.340425531914894,0.113475177304965
"146",2019,"El_pozo","Cistus crispus","B",8,1,0,0,8,9,0.888888888888889,39.3333333333333,0.01489,1,22,3,1,0.136363636363636,0.0454545454545455
"147",2019,"El_pozo","Cistus crispus","C",3,1,0,0,3,4,0.75,26,0.00949666666666667,2,26,3,1,0.115384615384615,0.0384615384615385
"148",2016,"El_pozo","Cistus ladanifer","A",0,0,1,0,1,1,1,175,0.04105,2,4.33333333333333,2,0.4,0.461538461538462,0.0923076923076923
"149",2016,"El_pozo","Cistus ladanifer","B",0,0,1,0,1,1,1,57,0.00275,1,1,1,0.2,1,0.2
"150",2016,"El_pozo","Cistus salviifolius","A",2,0,1,0,3,3,1,32,0.0297233333333333,1,3.66666666666667,3,0.6,0.818181818181818,0.163636363636364
"151",2016,"El_pozo","Cistus salviifolius","B",1,0,1,0,2,2,1,23,0.02597,2,3,2,0.4,0.666666666666667,0.133333333333333
"152",2016,"El_pozo","Halimium halimifolium","A",5,0,0,0,5,5,1,13.3333333333333,0.00509,NA,1,NA,NA,NA,NA
"153",2018,"El_pozo","Halimium halimifolium","A",4,0,0,0,4,4,1,16.3333333333333,0.00731333333333333,2,76,2,0.666666666666667,0.0263157894736842,0.0087719298245614
"154",2018,"El_pozo","Halimium halimifolium","B",3,2,1,0,4,6,0.666666666666667,16.6666666666667,0.00970333333333333,2,14,4,1.33333333333333,0.285714285714286,0.0952380952380952
"155",2018,"El_pozo","Halimium halimifolium","C",1,2,1,0,2,4,0.5,6,0.003385,2,19,2,0.666666666666667,0.105263157894737,0.0350877192982456
"156",2019,"El_pozo","Lavandula pedunculata","A",61,52,16,0,77,129,0.596899224806202,2.66666666666667,0.00198666666666667,2,50,8,2.66666666666667,0.16,0.0533333333333333
"157",2019,"El_pozo","Lavandula pedunculata","B",104,28,3,4,111,139,0.798561151079137,2.66666666666667,0.00211,1,200,3,1,0.015,0.005
"158",2019,"El_pozo","Lavandula pedunculata","C",102,24,6,0,108,132,0.818181818181818,3.33333333333333,0.00216,3,100,15,5,0.15,0.05
"159",2015,"El_pozo","Salvia rosmarinus","B",62,13,0,37,99,112,0.883928571428571,3.4,0.000362,2,93,3,0.6,0.032258064516129,0.00645161290322581
